Fecha,Estado,Ciudad,Tipo,Canal,Precio
2025-08-15,Aguascalientes ,Aguascalientes,Pasteurizada,Tiendas,27.4
2025-08-15,Baja California,Mexicali,Pasteurizada,Tiendas,29.3
2025-08-15,Baja California,Tijuana,Pasteurizada,Tiendas,
2025-08-15,Baja California Sur,La Paz,Pasteurizada,Tiendas,26.0
2025-08-15,Campeche,Campeche,Pasteurizada,Tiendas,
2025-08-15,Coahuila,Piedras Negras,Pasteurizada,Tiendas,25.0
2025-08-15,Coahuila,Saltillo,Pasteurizada,Tiendas,31.2
2025-08-15,Coahuila,Torreón,Pasteurizada,Tiendas,32.5
2025-08-15,Colima,Colima,Pasteurizada,Tiendas,25.5
2025-08-15,Chiapas,Tapachula,Pasteurizada,Tiendas,
2025-08-15,Chiapas,Tuxtla Gutiérrez,Pasteurizada,Tiendas,
2025-08-15,Chihuahua,Chihuahua,Pasteurizada,Tiendas,29.55
2025-08-15,Chihuahua,Cd.Juárez,Pasteurizada,Tiendas,29.6
2025-08-15,CDMX,Ciudad de México,Pasteurizada,Tiendas,27.25
2025-08-15,CDMX,ZM Ciudad de México,Pasteurizada,Tiendas,24.07
2025-08-15,Durango,Durango,Pasteurizada,Tiendas,29.25
2025-08-15,Durango,Gómez Palacio,Pasteurizada,Tiendas,31.45
2025-08-15,Guanajuato,León,Pasteurizada,Tiendas,23.69
2025-08-15,Guanajuato,Celaya,Pasteurizada,Tiendas,28.63
2025-08-15,Guerrero,Acapulco,Pasteurizada,Tiendas,29.17
2025-08-15,Guerrero,Chilpancingo,Pasteurizada,Tiendas,29.33
2025-08-15,Hidalgo,Pachuca,Pasteurizada,Tiendas,28.0
2025-08-15,Jalisco,Guadalajara,Pasteurizada,Tiendas,27.5
2025-08-15,Jalisco,ZM Guadalajara,Pasteurizada,Tiendas,27.5
2025-08-15,Edo. México,Toluca,Pasteurizada,Tiendas,26.96
2025-08-15,Michoacán,Morelia,Pasteurizada,Tiendas,28.2
2025-08-15,Morelos,Cuernavaca,Pasteurizada,Tiendas,28.83
2025-08-15,Nayarit,Tepic,Pasteurizada,Tiendas,26.02
2025-08-15,Nuevo León,Monterrey,Pasteurizada,Tiendas,29.75
2025-08-15,Nuevo León,ZM Monterrey,Pasteurizada,Tiendas,29.75
2025-08-15,Oaxaca,Oaxaca,Pasteurizada,Tiendas,30.0
2025-08-15,Puebla,Puebla,Pasteurizada,Tiendas,29.25
